2107,PR,CON,Consolación del Sur,
2111,PR,GUA,Guane,
2105,PR,LAP,La Palma,
2106,PR,LOP,Los Palacios,
2102,PR,MAN,Mantua,
2103,PR,MIN,Minas de Matahambre,
2108,PR,PNR,Pinar del Río,
2110,PR,SJM,San Juan y Martínez,
2109,PR,SAL,San Luis,
2101,PR,SAN,Sandino,
2104,PR,VIN,Viñales,
2209,AR,ART,Artemisa,
2208,AR,ALQ,Alquízar,
2205,AR,BAU,Bauta,
2204,AR,CAI,Caimito,
2203,AR,GUA,Guanajay,
2207,AR,GUI,Güira de Melena,
2202,AR,MAR,Mariel,
2206,AR,SAB,San Antonio de los Baños,
2201,AR,BAH,Bahía Honda,
2211,AR,SNC,San Cristóbal,
2210,AR,CAN,Candelaria,
2402,MY,SJL,San José de las Lajas,
2410,MY,BAT,Batabanó,
2401,MY,BEJ,Bejucal,
2408,MY,GUN,Güines,
2403,MY,JAR,Jaruco,
2405,MY,MAD,Madruga,
2409,MY,MDS,Melena del Sur,
2406,MY,NUP,Nueva Paz,
2411,MY,QUI,Quivicán,
2407,MY,SNB,San Nicolás de Bari,
2404,MY,SCN,Santa Cruz del Norte,
2302,HB,PLZ,Plaza,
2314,HB,ARN,Arroyo Naranjo,
2313,HB,BOY,Boyeros,
2303,HB,CNH,Centro Habana,
2310,HB,CRR,Cerro,
2315,HB,CTR,Cotorro,
2309,HB,DOC,Diez de Octubre,
2307,HB,GNB,Guanabacoa,
2306,HB,HDE,Habana del Este,
2304,HB,HBV,Habana Vieja,
2312,HB,LLS,La Lisa,
2311,HB,MRN,Marianao,
2301,HB,PLY,Playa,
2305,HB,RGL,Regla,
2308,HB,SMP,San Miguel del Padrón,
2501,MT,MAT,Matanzas,
2512,MT,CAL,Calimete,
2502,MT,CAR,Cárdenas,
2510,MT,CIE,Ciénaga de Zapata,
2504,MT,COL,Colón,
2511,MT,JUG,Jagüey Grande,
2506,MT,JOV,Jovellanos,
2508,MT,LIM,Limonar,
2513,MT,LAR,Los Arabos,
2503,MT,MAR,Martí,
2507,MT,PBE,Pedro Betancourt,
2505,MT,PIC,Perico,
2509,MT,UNR,Unión de Reyes,
2514,MT,VAR,Varadero,
2609,VC,STC,Santa Clara,
2606,VC,CAB,Caibarién,
2605,VC,CMJ,Camajuaní,
2610,VC,CIF,Cifuentes,
2601,VC,CRR,Corralillo,
2604,VC,ENC,Encrucijada,
2613,VC,MNC,Manicaragua,
2608,VC,PLT,Placetas,
2602,VC,QUE,Quemado de Güines,
2612,VC,RAN,Ranchuelo,
2607,VC,REM,Remedios,
2603,VC,SLG,Sagua la Grande,
2611,VC,STD,Santo Domingo,
2707,CI,CIE,Cienfuegos,
2708,CI,ABR,Abreus,
2701,CI,ADP,Aguada de Pasajeros,
2705,CI,CRU,Cruces,
2706,CI,CMY,Cumanayagua,
2703,CI,PMR,Palmira,
2702,CI,ROD,Rodas,
2704,CI,SIL,Santa Isabel de las Lajas,
2807,SS,SST,Sancti Spíritus,
2804,SS,CBG,Cabaigúan,
2805,SS,FOM,Fomento,
2802,SS,JAT,Jatibonico,
2808,SS,LSI,La Sierpe,
2803,SS,TAG,Taguasco,
2806,SS,TRI,Trinidad,
2801,SS,YAG,Yaguajay,
2908,CG,CAV,Ciego de Ávila,
2905,CG,CIR,Ciro Redondo,
2910,CG,BAR,Baraguá,
2903,CG,BOV,Bolivia,
2901,CG,CHA,Chambas,
2906,CG,FLO,Florencia,
2907,CG,MAJ,Majagua,
2902,CG,MOR,Morón,
2904,CG,PDE,Primero de Enero,
2909,CG,VEN,Venezuela,
3008,CM,CAM,Camagüey,
3001,CM,CMC,Carlos Manuel de Céspedes,
3002,CM,ESM,Esmeralda,
3009,CM,FLO,Florida,
3010,CM,VER,Vertientes,
3006,CM,GMO,Guaimaro,
3011,CM,JIM,Jimagüayú,
3004,CM,MIN,Minas,
3012,CM,NAJ,Najasa,
3005,CM,NUE,Nuevitas,
3013,CM,SCS,Santa Cruz del Sur,
3007,CM,SIB,Sibanicú,
3003,CM,SCB,Sierra de Cubitas,
3105,LT,LTU,Las Tunas,
3108,LT,AMC,Amancio Rodríguez,
3107,LT,CLB,Colombia,
3103,LT,JMN,Jesús Menéndez,
3106,LT,JBB,Jobabo,
3104,LT,MJB,Majibacoa,
3101,LT,MNT,Manatí,
3102,LT,PPD,Puerto Padre,
3201,HO,GIB,Gibara,
3202,HO,RAF,Rafael Freyre,
3203,HO,BAN,Banes,
3204,HO,ANT,Antilla,
3205,HO,BAG,Báguanos,
3206,HO,HOL,Holguín,
3207,HO,CAL,Calixto García,
3208,HO,CAC,Cacocúm,
3209,HO,URB,Urbano Noris,
3210,HO,CUE,Cueto,
3211,HO,MAY,Mayarí,
3212,HO,FRP,Frank País,
3213,HO,SAG,Sagua de Tánamo,
3214,HO,MOA,Moa,
3304,GR,BYM,Bayamo,
3311,GR,BTM,Bartolomé Masó,
3312,GR,BRR,Buey Arriba,
3307,GR,CCH,Campechuela,
3302,GR,CCR,Cauto Cristo,
3313,GR,GSA,Guisa,
3303,GR,JGN,Jiguaní,
3306,GR,MNZ,Manzanillo,
3308,GR,MEL,Media Luna,
3309,GR,NQR,Niquero,
3310,GR,PLN,Pilón,
3301,GR,RCT,Río Cauto,
3305,GR,YRA,Yara,
3406,SC,STC,Santiago de Cuba,
3401,SC,CTM,Contramaestre,
3409,SC,GMA,Guamá,
3402,SC,JAM,Julio Antonio Mella,
3407,SC,PSN,Palma Soriano,
3403,SC,SLU,San Luis,
3404,SC,SGF,Segundo Frente,
3405,SC,SLM,Songo la Maya,
3408,SC,TRF,Tercer Frente,
3509,GT,GTM,Guantánamo,
3504,GT,COA,Baracoa,
3508,GT,CNR,Caimanera,
3501,GT,SAL,El Salvador,
3506,GT,IMI,Imías,
3505,GT,MAI,Maisí,
3502,GT,MNT,Manuel Tames,
3510,GT,NCT,Niceto Pérez,
3507,GT,SAS,San Antonio del Sur,
3503,GT,YAT,Yateras,
4001,IS,ISL,Isla de la Juventud