247,HB,23,La Habana,
247,PR,21,Pinar del Rio,
247,AR,22,Artemisa,
247,MY,24,Mayabeque,
247,MT,25,Matanzas,
247,VC,26,Villa Clara,
247,CI,27,Cienfuegos,
247,SS,28,Sancti Spíritus,
247,CG,29,Ciego de Ávila,
247,CM,30,Camagüey,
247,LT,31,Las Tunas,
247,HO,32,Holguín,
247,GR,33,Granma,
247,SC,34,Santiago de Cuba,
247,GT,35,Guantánamo,
247,IS,4001,Isla de la Juventud,
103,OTT,0,Ottawa,
104,WAS,0,Washington D. C,
201,CMX,0,Ciudad de Mexico,
206,BLP,0,Belmopán,
202,SJO,0,San José,
204,CGT,0,Ciudad de Guatemala,
205,TEG,0,Tegucigalpa,
208,MAN,0,Managua,
209,PAN,0,Panamá,
310,BAS,0,Buenos Aires,
306,SUC,0,Sucre,
311,BRA,0,Brasilia,
307,SCH,0,Santiago de Chile,
301,BOG,0,Bogota,
308,QTO,0,Quito,
303,CYN,0,Cayena,
313,ASU,0,Asuncion,
309,LIM,0,Lima,
304,PRM,0,Paramaribo,
314,MNT,0,Montevideo,
305,CRC,0,Caracas,
407,COP,0,Copenhague,
450,TLL,0,Tallin,
422,HLK,0,Helsinki,
412,RKV,0,Reikiavik,
451,RGA,0,Riga,
452,VIL,0,Vilna,
416,OSL,0,Oslo,
437,TIR,0,Tirana,
453,MKN,0,Minsk,
459,SAR,0,Sarajevo,
438,SOF,0,SOFIA,
460,ZAG,0,Zagreb,
464,BRT,0,Bratislava,
461,LBN,0,Liubliana,
462,SKP,0,Skopie,
454,CHI,0,Chisináu,
425,VRS,0,Varsovia,
463,PRG,0,Praga,
440,BUC,0,Bucarest,
455,KIV,0,Kiev,
401,BRL,0,Berlin,
403,ARR,0,Andorra la Vieja,
404,VIN,0,Viena,
405,BSL,0,Bruselas,
428,MDD,0,Madrid,
408,PAR,0,Paris,
439,ATE,0,Atenas,
411,DBL,0,Dublín,
431,ROM,0,Roma,
413,VDZ,0,Vaduz,
414,CLX,0,Ciudad de Luxemburgo,
432,LVA,0,La Valeta,
415,MNC,0,Mónaco,
433,LIS,0,Lisboa,
417,LON,0,Londres,
418,ETC,0,Estocolmo,
419,BER,0,Berna,
516,KBL,0,Kabul,
509,RID,0,Riad,
458,ERV,0,Erevan,
567,BKU,0,Baku,
560,DCA,0,Daca,
552,BSB,0,Bandar Seri Begawan,
519,NOP,0,Nom Pen,
535,PEK,0,Pekin,
427,NCI,0,Nicosia,
557,ABD,0,Abu Dabi,
457,MSU,0,Moscu,
523,MNL,0,Manila,
456,TFL,0,Tiflis,
525,NVD,0,Nueva Delhi,
526,YKT,0,Yakarta,
501,THR,0,Teheran,
502,BGD,0,Bagdad,
503,JRS,0,Jerusalen,
539,TKO,0,Tokio,
504,AMN,0,Aman,
511,KWA,0,Kuwait,
505,BRT,0,Beirut,
529,KLP,0,Kuala Lumpur,
551,MLE,0,Male,
540,ULB,0,Ulan Bator,
530,KMD,0,Katmandu,
514,MCT,0,Mascate,
532,ILM,0,Islamabad,
507,DMC,0,Damasco,
541,SUL,0,Seul,
536,PYG,0,Pionyang,
548,CSG,0,Ciudad de Singapur,
520,SJW,0,Sri Jayawardenapura,
533,BNK,0,Bangkok,
570,DSB,0,Dusambe,
534,DLI,0,Dili,
561,AKA,0,Ankara,
568,ASJ,0,Asjabad,
569,TKT,0,Taskent,
508,ADN,0,Aden,
601,CAR,0,Canberra,
607,DBL,0,Dublin,
623,PTM,0,Puerto Moresby,
614,NKL,0,Nukualofa,
712,LAD,0,Luanda,
701,AGL,0,Argel,
742,PNV,0,Porto Novo,
740,UGD,0,Uagadugu,
713,YAD,0,Yaunde,
702,ECO,0,El Cairo,
721,ABE,0,Adis Abeba,
745,BAJ,0,Banjul,
715,ACR,0,Acra,
718,MNV,0,Monrovia,
703,TPL,0,Tripoli,
722,ANT,0,Antananarivo,
732,BMK,0,Bamako,
704,RBT,0,Rabat,
723,PLS,0,Port Louis,
741,NKT,0,Nuakchot,
724,MPT,0,Maputo,
738,NAM,0,Niamey,
719,ABY,0,Abuya,
737,DKR,0,Dakar,
726,MGD,0,Mogadiscio,
731,PTR,0,Pretoria,
750,LZK,0,Lusaka