Cooperativa de Créditos y Servicios,CCS
Cooperativa de Producción Agropecuaria,CPA
Cooperativa no Agropecuaria de Producción,CNoA
Empresa,EMP
Grupo Empresarial,GRUP
CMEX,CMEX
Organización Económicas Estatales,OEE
OPM,OPM
Union,U
Otro,OTRO
Banco,BANC
Asociación,AS
Mercantil,MERC
Organismo de la Administración Central del Estado,OACE
Organización No Gubernamental,ONG
Órgano Superior de Dirección Empresarial,OSDE
Trabajador por Cuenta Propia,TCP
Unidad Básica de Producción Cooperativa,UBPC
Unidad Empresarial de Base,UEB
Unidad Presupuestada,UP